instance_id,weighted_total_score
dacomp-022,69.4286
dacomp-029,53.7193
dacomp-035,49.3333
dacomp-048,52.3333
dacomp-058,55.1053
dacomp-060,51.0
dacomp-069,47.4386
dacomp-070,42.7719
dacomp-078,41.5
dacomp-098,42.3889
