instance_id,weighted_total_score
dacomp-022,47.619
dacomp-029,41.1228
dacomp-035,52.0
dacomp-048,53.0
dacomp-058,51.2281
dacomp-060,42.6667
dacomp-069,26.4912
dacomp-070,53.0877
dacomp-078,38.7778
dacomp-098,41.3333
